fold,model,RMSE,MAE,MAPE,R2,train_size,test_size,coin
1,LSTM-Price,1146.5547102920102,798.5633164911686,2.3244936409310686,0.9709469570318108,879,184,BTC
2,LSTM-Price,2504.547691543373,1951.3465268342393,3.1124726699075387,0.8758225333313044,1057,184,BTC
3,LSTM-Price,2549.888404219839,1960.4309493885862,2.414860515017323,0.9790701714707957,1235,184,BTC
4,LSTM-Price,3285.379539616472,2523.229991508152,2.500476919002661,0.9338842325915002,1413,184,BTC
5,LSTM-Price,3380.199428040203,2564.658649796196,2.8476414036588094,0.958125289963938,1592,184,BTC
1,LSTM-Sentiment,1548.6964199225656,1169.933427734375,3.4229947776950125,0.9469928261880362,879,184,BTC
2,LSTM-Sentiment,2551.0370474485867,1970.7064546535332,3.1249186650920793,0.8711697898732783,1057,184,BTC
3,LSTM-Sentiment,3373.2452215773724,2625.309200067932,3.1461300253420257,0.9633714986398461,1235,184,BTC
4,LSTM-Sentiment,4857.460077919578,4164.151803668477,3.9767504546255035,0.8554718556144547,1413,184,BTC
5,LSTM-Sentiment,3718.09963431596,2788.8629161005438,3.1125119458449535,0.949334864117575,1592,184,BTC
1,LSTM-OnChain,1594.5670096559013,1303.0341058084239,4.098644159731264,0.9438063024058726,879,184,BTC
2,LSTM-OnChain,4659.262395363237,3825.486582880435,6.037909922166226,0.5702473906608159,1057,184,BTC
3,LSTM-OnChain,3101.074417861854,2393.3876834239104,2.8331637771256677,0.969043796067078,1235,184,BTC
4,LSTM-OnChain,5189.524858173703,4401.924262907608,4.1936648248978425,0.8350360146864368,1413,184,BTC
5,LSTM-OnChain,4070.3826961781847,3198.5289130434785,3.665421770123668,0.9392791766668052,1592,184,BTC
1,LSTM-Full,2998.04140613753,2442.2189656929354,7.8027358957760455,0.801355148264074,879,184,BTC
2,LSTM-Full,3245.559751927174,2677.51913722826,4.275603589428169,0.7914724686544735,1057,184,BTC
3,LSTM-Full,4358.341238553628,3455.648439198366,3.974770663519019,0.9388543193868079,1235,184,BTC
4,LSTM-Full,6978.597798388344,6270.772267323369,5.928881492944096,0.7016883013558487,1413,184,BTC
5,LSTM-Full,3821.918982415644,2910.352079653532,3.1779543343465457,0.9464659478002633,1592,184,BTC
1,GRU-Price,988.1476529730148,673.5819637398098,1.9500169742098346,0.978420282868347,879,184,BTC
2,GRU-Price,1906.7761398014652,1414.5993851902185,2.2408811849261037,0.9280246805085697,1057,184,BTC
3,GRU-Price,2604.8602384738297,2011.8772775135842,2.3787651717936025,0.9781580114286554,1235,184,BTC
4,GRU-Price,2341.75819330863,1741.8747129755443,1.7492309575260778,0.966409378162142,1413,184,BTC
5,GRU-Price,2775.0420176670414,2075.252406589674,2.338425033039462,0.9717767975230635,1592,184,BTC
1,GRU-Sentiment,1417.5727417006299,1201.4012168817937,3.8528173839960282,0.9555887734193679,879,184,BTC
2,GRU-Sentiment,2395.6996697380164,1787.2502522078812,2.815925666309296,0.8863815318230739,1057,184,BTC
3,GRU-Sentiment,2669.64217618641,2071.0084103260842,2.464182360545853,0.9770580973725126,1235,184,BTC
4,GRU-Sentiment,2646.323883492433,1992.3576137907614,1.9985591363148454,0.9571036895583268,1413,184,BTC
5,GRU-Sentiment,2770.9143560187276,2122.8160563858696,2.3795493027421406,0.9718606947688853,1592,184,BTC
1,GRU-OnChain,2249.210715340735,1899.3337096637229,6.3578076698348145,0.8881947110354622,879,184,BTC
2,GRU-OnChain,1964.639259928115,1456.342227411686,2.2962257698034194,0.9235900666975712,1057,184,BTC
3,GRU-OnChain,3086.1761053052614,2394.386028362769,2.8151691569430524,0.9693405237769226,1235,184,BTC
4,GRU-OnChain,2797.9707763316665,2122.2863196331527,2.1422063582770066,0.9520465017125781,1413,184,BTC
5,GRU-OnChain,2715.840933371515,2100.914860733696,2.361018167690575,0.9729681465432334,1592,184,BTC
1,GRU-Full,1851.938225205377,1569.1332672384515,5.065954795386841,0.9242024701878582,879,184,BTC
2,GRU-Full,2120.5428183644813,1624.8160903532619,2.6007057186989355,0.9109819090731974,1057,184,BTC
3,GRU-Full,3312.3863359615157,2574.483498641301,2.9912283719945463,0.9646812527116447,1235,184,BTC
4,GRU-Full,2459.919141224527,1874.6355332880441,1.860973944153299,0.9629340094579003,1413,184,BTC
5,GRU-Full,2661.380492777519,2090.9123913043477,2.373791753909037,0.9740414097366715,1592,184,BTC
1,LSTM-Price,68.60237381943948,47.34763172978943,2.4002397612104422,0.9395319910867862,879,184,ETH
2,LSTM-Price,146.16271849574733,106.19551471212638,3.2105791336711107,0.8551608842354752,1057,184,ETH
3,LSTM-Price,131.08209687939055,98.58956516431725,3.2931265248341814,0.9266654572826825,1235,184,ETH
4,LSTM-Price,162.90457270371007,112.2463420834749,4.107332373690026,0.9685186996249987,1413,184,ETH
5,LSTM-Price,140.51691005811742,105.21856469195822,3.5316950889961394,0.9671210662714256,1592,184,ETH
1,LSTM-Sentiment,86.63890349119448,72.12334201978601,3.900797227653188,0.9035564305801007,879,184,ETH
2,LSTM-Sentiment,166.47338253457775,125.25096164869238,3.7398084068969877,0.8121106132657603,1057,184,ETH
3,LSTM-Sentiment,139.8853308652876,105.99515550696334,3.520588961432136,0.9164846747166642,1235,184,ETH
4,LSTM-Sentiment,182.51571743014583,121.38670415463659,4.356717920273017,0.9604827556112596,1413,184,ETH
5,LSTM-Sentiment,150.1937378356988,114.35380724036173,3.7751454751128315,0.9624366606516841,1592,184,ETH
1,LSTM-OnChain,94.20676862877829,71.41965133003568,3.860148424665995,0.8859719766917579,879,184,ETH
2,LSTM-OnChain,168.39184485601407,126.10648219896404,3.800236113629479,0.8077551338302376,1057,184,ETH
3,LSTM-OnChain,146.7431115661742,110.82002292798911,3.7040887723282534,0.9080953944209756,1235,184,ETH
4,LSTM-OnChain,168.32406300737327,114.45344530188522,4.215198791524779,0.9663892251809905,1413,184,ETH
5,LSTM-OnChain,199.4487045566108,160.6472143023947,5.884601396382319,0.9337595945254928,1592,184,ETH
1,LSTM-Full,118.88108374858876,86.38556948454485,4.746602135101798,0.8184179594614613,879,184,ETH
2,LSTM-Full,189.87225446589096,148.93365462593422,4.422143227281097,0.7555806104383781,1057,184,ETH
3,LSTM-Full,137.4719634687492,107.27238695227582,3.5888363645658496,0.919341507767274,1235,184,ETH
4,LSTM-Full,158.96038692119072,110.03518679411518,4.067109045227029,0.9700246725893675,1413,184,ETH
5,LSTM-Full,188.7870332843554,142.0408096976902,5.026873724872837,0.9406521669937856,1592,184,ETH
1,GRU-Price,55.37714784793602,36.66991808020551,1.8415138793095305,0.9605988816298742,879,184,ETH
2,GRU-Price,128.70990162702182,89.73990451978601,2.719726422111356,0.8876853112943769,1057,184,ETH
3,GRU-Price,113.89189603336742,84.68909641431725,2.8281729606479855,0.9446385477380153,1235,184,ETH
4,GRU-Price,125.28863088418757,85.22629781971808,3.149001611361209,0.9813787238829397,1413,184,ETH
5,GRU-Price,137.00831142796076,102.8136712646484,3.448600534770746,0.9687424906179992,1592,184,ETH
1,GRU-Sentiment,75.18763620488504,59.756885614809796,3.2461485736136373,0.9273659527997498,879,184,ETH
2,GRU-Sentiment,152.1234215141169,120.80593702233374,3.618537342676632,0.8431065508218532,1057,184,ETH
3,GRU-Sentiment,114.76793216727063,85.44020651112436,2.841370794099907,0.9437836115096299,1235,184,ETH
4,GRU-Sentiment,156.50848699879012,106.78065819781762,3.7750611612393223,0.9709422556097869,1413,184,ETH
5,GRU-Sentiment,129.19628695878882,96.4296561863111,3.1903435432674034,0.9722053885464842,1592,184,ETH
1,GRU-OnChain,119.96798582097726,86.24836882218072,4.697542113668715,0.8150824563376187,879,184,ETH
2,GRU-OnChain,149.57699132038206,108.95535198709244,3.300378880781538,0.8483151425948148,1057,184,ETH
3,GRU-OnChain,112.31764138871058,83.15955094047213,2.78245326436674,0.9461584222189162,1235,184,ETH
4,GRU-OnChain,138.57003593630617,93.07937523883325,3.394490372258021,0.9772215183302352,1413,184,ETH
5,GRU-OnChain,173.39744745895217,136.1965749724015,4.90460933564952,0.9499336486727652,1592,184,ETH
1,GRU-Full,75.49750611679973,59.02836837105131,3.134196122195894,0.9267660274375429,879,184,ETH
2,GRU-Full,129.3512088462703,91.44387573242193,2.7531911648784706,0.886563289399833,1057,184,ETH
3,GRU-Full,118.12693721502735,88.40572122325068,2.9538530470406164,0.9404447961256723,1235,184,ETH
4,GRU-Full,147.5657805620591,100.31338357676634,3.6594807142209853,0.974168035697135,1413,184,ETH
5,GRU-Full,134.23381828801595,104.38999296768851,3.5412454233520156,0.9699956356695889,1592,184,ETH
1,LSTM-Price,4.777124554145528,2.6835195707238237,5.375611395388606,0.973226379229474,879,184,SOL
2,LSTM-Price,8.64805534985342,6.7501852566262945,4.493453331888424,0.8901303440022569,1057,184,SOL
3,LSTM-Price,9.853297362525145,7.2850183039126195,3.8524417595361538,0.9346541837460023,1235,184,SOL
4,LSTM-Price,7.907660164329106,6.196222242272418,3.9856288116221954,0.8910438840694824,1413,184,SOL
5,LSTM-Price,8.136880653619375,5.7386186566560164,4.119984228024381,0.9675590761571553,1592,184,SOL
1,LSTM-Sentiment,4.969668931146319,3.0178646153989046,5.843072138378573,0.971024636441155,879,184,SOL
2,LSTM-Sentiment,9.49182699019679,7.468419526141623,4.952473374567905,0.8676449638814465,1057,184,SOL
3,LSTM-Sentiment,10.878075557522832,8.215895961263906,4.375567911240533,0.9203549571612537,1235,184,SOL
4,LSTM-Sentiment,8.242308099344372,6.321361228279446,4.056217818483723,0.8816268218081444,1413,184,SOL
5,LSTM-Sentiment,7.953524747676956,5.757638135163681,4.031947275937581,0.9690046464372956,1592,184,SOL
1,LSTM-OnChain,5.668450820047625,3.4104393896849263,6.837378900661149,0.9623033511546811,879,184,SOL
2,LSTM-OnChain,9.9475824069692,7.793778606912364,5.217519968176043,0.8546296169529275,1057,184,SOL
3,LSTM-OnChain,10.76693308426421,8.079076010662575,4.237233681698861,0.9219741270866055,1235,184,SOL
4,LSTM-OnChain,8.688330432086316,7.062585888738217,4.605845595413785,0.8684689527098359,1413,184,SOL
5,LSTM-OnChain,9.029342649000899,6.728459351581076,5.038093036319608,0.9600525014692946,1592,184,SOL
1,LSTM-Full,5.797072006601028,3.898940323954043,8.191729744572665,0.9605732147158259,879,184,SOL
2,LSTM-Full,9.19395722994759,7.242804606893789,4.82431321209376,0.8758216737647054,1057,184,SOL
3,LSTM-Full,10.88885883596873,8.356873804175335,4.394114521119872,0.920196976947861,1235,184,SOL
4,LSTM-Full,8.329603852423604,6.307410056072733,4.029667347388878,0.8791061207010255,1413,184,SOL
5,LSTM-Full,8.221319168267016,6.016595744257388,4.178791519691886,0.9668822869641606,1592,184,SOL
1,GRU-Price,3.80603679415059,2.2532219082376232,4.674624414566426,0.9830050479781911,879,184,SOL
2,GRU-Price,7.465647507957112,5.756281756525454,3.846236168319454,0.9181203825025039,1057,184,SOL
3,GRU-Price,8.728932069161246,6.389614652550739,3.374365164997396,0.9487165970339745,1235,184,SOL
4,GRU-Price,7.1251020220157475,5.575810697804328,3.5996847674703942,0.9115418619763259,1413,184,SOL
5,GRU-Price,7.242606729550263,5.117483318163002,3.686759754957497,0.9742979875929222,1592,184,SOL
1,GRU-Sentiment,4.63435993145916,2.778838521708613,5.515679833141859,0.9748027294452297,879,184,SOL
2,GRU-Sentiment,8.387785011202654,6.355251128155253,4.198907483540604,0.8966440639508534,1057,184,SOL
3,GRU-Sentiment,9.17173288647653,6.847644246972124,3.6260686886236653,0.9433816245237596,1235,184,SOL
4,GRU-Sentiment,7.291527754551092,5.526896017323369,3.540905840283769,0.9073612501761444,1413,184,SOL
5,GRU-Sentiment,7.65381313436748,5.826125083591627,4.11245397690379,0.9712966206401075,1592,184,SOL
1,GRU-OnChain,5.019185766427644,3.18110172852226,6.586673092122478,0.9704443498250119,879,184,SOL
2,GRU-OnChain,9.537407179137947,7.466896234595257,4.9498964709185,0.866370761902584,1057,184,SOL
3,GRU-OnChain,9.108355556616495,6.659071846008302,3.494123547903638,0.9441613950914524,1235,184,SOL
4,GRU-OnChain,7.122911871073742,5.416657966945483,3.463805033972831,0.9115962350639893,1413,184,SOL
5,GRU-OnChain,7.57384931075338,5.499061680669371,3.99644083535182,0.9718932493046982,1592,184,SOL
1,GRU-Full,8.261548161166022,5.821970661826755,12.160946081503488,0.9199250168582178,879,184,SOL
2,GRU-Full,7.9846739362208545,6.079812948807427,4.004814906340775,0.9063397709724885,1057,184,SOL
3,GRU-Full,13.925418404357032,10.535999666296917,5.281302703056965,0.8694817885239328,1235,184,SOL
4,GRU-Full,7.554591054165055,6.0887802090852166,3.954175520182352,0.9005562394511649,1413,184,SOL
5,GRU-Full,6.969807814804511,5.157492558023205,3.659451126868175,0.9761976998546462,1592,184,SOL
